frame_idx,time,track_id,nose_x,nose_y,nose_conf,left_ear_conf,right_ear_conf,left_eye_conf,right_eye_conf,left_shoulder_conf,right_shoulder_conf,shoulder_width,head_center_x,head_center_y,head_width,head_width_source,offset,offset_reason,threshold,side,prev_side,turn_recorded,turns_in_window,max_turns,detected,confidence
590,19.67,3,538.5,70.3,0.888,0.91,0.071,0.901,0.382,0.953,0.915,7.0,538.5,70.3,3.5,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
590,19.67,4,578.7,36.6,0.94,0.907,0.142,0.958,0.702,0.975,0.919,36.2,579.1,30.6,18.1,shoulders*0.5,-0.0238,ok,0.3,center,center,False,0,2,False,0.0
590,19.67,5,512.5,206.9,0.656,0.928,0.125,0.733,0.101,0.986,0.894,70.7,512.5,206.9,35.4,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
591,19.7,1,592.1,439.3,0.439,0.974,0.081,0.591,0.018,0.998,0.937,69.1,,,34.6,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
591,19.7,2,585.9,115.3,0.963,0.856,0.376,0.962,0.861,0.97,0.894,19.9,586.5,107.2,10.0,shoulders*0.5,-0.0566,ok,0.3,center,center,False,0,2,False,0.0
591,19.7,3,538.5,70.3,0.888,0.91,0.071,0.901,0.382,0.953,0.915,7.0,538.5,70.3,3.5,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
591,19.7,4,578.7,36.6,0.94,0.907,0.142,0.958,0.702,0.975,0.919,36.2,579.1,30.6,18.1,shoulders*0.5,-0.0238,ok,0.3,center,center,False,0,2,False,0.0
591,19.7,5,512.5,206.9,0.656,0.928,0.125,0.733,0.101,0.986,0.894,70.7,512.5,206.9,35.4,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
592,19.73,1,592.1,439.3,0.439,0.974,0.081,0.591,0.018,0.998,0.937,69.1,,,34.6,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
592,19.73,2,585.9,115.3,0.963,0.856,0.376,0.962,0.861,0.97,0.894,19.9,586.5,107.2,10.0,shoulders*0.5,-0.0566,ok,0.3,center,center,False,0,2,False,0.0
592,19.73,3,538.5,70.3,0.888,0.91,0.071,0.901,0.382,0.953,0.915,7.0,538.5,70.3,3.5,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
592,19.73,4,578.7,36.6,0.94,0.907,0.142,0.958,0.702,0.975,0.919,36.2,579.1,30.6,18.1,shoulders*0.5,-0.0238,ok,0.3,center,center,False,0,2,False,0.0
592,19.73,5,512.5,206.9,0.656,0.928,0.125,0.733,0.101,0.986,0.894,70.7,512.5,206.9,35.4,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
593,19.77,1,590.9,438.8,0.43,0.975,0.078,0.589,0.018,0.998,0.94,66.8,,,33.4,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
593,19.77,2,584.6,116.9,0.962,0.852,0.376,0.96,0.856,0.972,0.9,19.9,585.2,108.7,10.0,shoulders*0.5,-0.062,ok,0.3,center,center,False,0,2,False,0.0
593,19.77,4,579.6,37.2,0.921,0.885,0.147,0.943,0.662,0.972,0.908,35.8,579.8,31.3,17.9,shoulders*0.5,-0.0115,ok,0.3,center,center,False,0,2,False,0.0
593,19.77,5,512.3,206.3,0.627,0.928,0.148,0.695,0.095,0.987,0.915,73.3,512.3,206.3,36.6,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
594,19.8,1,590.9,438.8,0.43,0.975,0.078,0.589,0.018,0.998,0.94,66.8,,,33.4,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
594,19.8,2,584.6,116.9,0.962,0.852,0.376,0.96,0.856,0.972,0.9,19.9,585.2,108.7,10.0,shoulders*0.5,-0.062,ok,0.3,center,center,False,0,2,False,0.0
594,19.8,4,579.6,37.2,0.921,0.885,0.147,0.943,0.662,0.972,0.908,35.8,579.8,31.3,17.9,shoulders*0.5,-0.0115,ok,0.3,center,center,False,0,2,False,0.0
594,19.8,5,512.3,206.3,0.627,0.928,0.148,0.695,0.095,0.987,0.915,73.3,512.3,206.3,36.6,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
595,19.83,1,590.9,438.8,0.43,0.975,0.078,0.589,0.018,0.998,0.94,66.8,,,33.4,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
595,19.83,2,584.6,116.9,0.962,0.852,0.376,0.96,0.856,0.972,0.9,19.9,585.2,108.7,10.0,shoulders*0.5,-0.062,ok,0.3,center,center,False,0,2,False,0.0
595,19.83,4,579.6,37.2,0.921,0.885,0.147,0.943,0.662,0.972,0.908,35.8,579.8,31.3,17.9,shoulders*0.5,-0.0115,ok,0.3,center,center,False,0,2,False,0.0
595,19.83,5,512.3,206.3,0.627,0.928,0.148,0.695,0.095,0.987,0.915,73.3,512.3,206.3,36.6,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
596,19.87,1,590.9,438.8,0.43,0.975,0.078,0.589,0.018,0.998,0.94,66.8,,,33.4,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
596,19.87,2,584.6,116.9,0.962,0.852,0.376,0.96,0.856,0.972,0.9,19.9,585.2,108.7,10.0,shoulders*0.5,-0.062,ok,0.3,center,center,False,0,2,False,0.0
596,19.87,4,579.6,37.2,0.921,0.885,0.147,0.943,0.662,0.972,0.908,35.8,579.8,31.3,17.9,shoulders*0.5,-0.0115,ok,0.3,center,center,False,0,2,False,0.0
596,19.87,5,512.3,206.3,0.627,0.928,0.148,0.695,0.095,0.987,0.915,73.3,512.3,206.3,36.6,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
